Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,Yes,Travel_Rarely,1430,Sales,13,1,Marketing,3,Female,66,2,1,Manufacturing Director,2,Divorced,6742,11045,8,Yes,25,3,3,2,21,0,4,2,9,14,17
46,No,Travel_Rarely,603,Human Resources,8,4,Medical,4,Female,55,2,4,Sales Representative,2,Single,4225,12443,9,No,20,3,1,0,40,2,3,24,11,15,8
32,No,Travel_Rarely,449,Research & Development,13,3,Human Resources,4,Male,41,2,3,Research Director,1,Divorced,5373,11637,1,No,21,3,4,3,20,4,1,15,17,3,11
60,No,Travel_Frequently,1365,Sales,16,5,Other,4,Female,78,3,5,Research Scientist,3,Married,13278,11554,9,Yes,20,3,3,3,36,1,3,20,5,4,12
25,No,Travel_Rarely,1119,Sales,2,3,Medical,4,Male,43,4,2,Sales Representative,2,Married,18870,3879,1,Yes,23,3,2,0,26,6,4,12,7,13,10
38,No,Non-Travel,671,Sales,13,2,Other,2,Male,75,3,4,Research Scientist,3,Married,14838,8042,4,Yes,15,3,4,2,37,4,4,35,4,10,14
56,No,Non-Travel,796,Research & Development,18,3,Other,4,Male,64,3,1,Research Scientist,1,Divorced,5969,16592,4,No,21,3,4,1,34,0,4,7,2,2,9
36,Yes,Non-Travel,1462,Sales,3,1,Human Resources,1,Female,58,2,1,Research Director,1,Married,19790,21085,6,No,23,3,4,3,37,0,3,18,1,0,9
40,Yes,Non-Travel,127,Research & Development,13,4,Other,2,Female,41,1,3,Research Scientist,3,Single,9310,4724,0,Yes,23,3,3,3,39,6,2,15,5,2,8
28,Yes,Travel_Rarely,1202,Human Resources,19,4,Technical Degree,2,Male,73,3,4,Human Resources,2,Divorced,9850,9754,1,No,25,3,4,0,5,4,2,11,6,12,2
28,No,Travel_Rarely,318,Sales,13,1,Human Resources,4,Male,95,1,4,Sales Executive,4,Married,8739,2332,5,No,16,3,3,3,31,4,1,19,7,8,15
41,No,Non-Travel,1453,Research & Development,19,2,Medical,2,Male,31,2,5,Human Resources,4,Single,18892,22014,1,No,25,3,1,3,15,5,3,17,3,1,11
